,Title,Genres,Cast,Budget,Revenue,Popularity,Vote_average,Release_decade
214,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']","['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin']",94000000,1118888979,91.431,8.474,2000s
215,The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler']",100000000,392000000,127.416,8.037,2010s
216,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']",365000000,1405403694,136.706,7.281,2010s
217,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie']",250000000,1153337496,101.111,7.44,2010s
218,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy']",250000000,1081041287,74.856,7.775,2010s
219,Iron Man 3,"['Action', 'Adventure', 'Science Fiction']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall']",200000000,1214811252,73.826,6.927,2010s
220,Black Panther,"['Action', 'Adventure', 'Science Fiction']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman']",200000000,1349926083,66.105,7.394,2010s
221,Mad Max: Fury Road,"['Action', 'Adventure', 'Science Fiction']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Riley Keough']",150000000,378858340,68.972,7.574,2010s
222,Doctor Strange,"['Action', 'Adventure', 'Fantasy']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Mads Mikkelsen']",165000000,677796076,139.576,7.426,2010s
223,The Hunger Games,"['Science Fiction', 'Adventure', 'Fantasy']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']",75000000,694394724,41.771,7.189,2010s
224,Inglourious Basterds,"['Drama', 'Thriller', 'War']","['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Eli Roth', 'Michael Fassbender']",70000000,321457747,62.177,8.215,2000s
225,Spider-Man: Homecoming,"['Action', 'Adventure', 'Science Fiction', 'Drama']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei', 'Jon Favreau']",175000000,880166924,106.68,7.351,2010s
226,Harry Potter and the Chamber of Secrets,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Kenneth Branagh', 'John Cleese']",100000000,876688482,191.387,7.723,2000s
227,Captain America: The First Avenger,"['Action', 'Adventure', 'Science Fiction']","['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan']",140000000,370569774,58.943,6.989,2010s
228,Suicide Squad,"['Action', 'Adventure', 'Fantasy']","['Will Smith', 'Jared Leto', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis']",175000000,746846894,53.706,5.908,2010s
229,The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']","['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin']",79000000,926287400,96.121,8.4,2000s
230,Thor,"['Adventure', 'Fantasy', 'Action']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård']",150000000,449326618,98.003,6.768,2010s
231,Guardians of the Galaxy Vol. 2,"['Adventure', 'Action', 'Science Fiction']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper']",200000000,863756051,100.761,7.623,2010s
232,Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon']",130000000,789804554,188.575,8.021,2000s
233,The Pursuit of Happyness,['Drama'],"['Will Smith', 'Jaden Smith', 'Thandiwe Newton', 'Brian Howe', 'James Karen']",55000000,307077295,40.74,7.902,2000s
234,Black Widow,"['Action', 'Adventure', 'Science Fiction']","['Scarlett Johansson', 'Florence Pugh', 'Rachel Weisz', 'David Harbour', 'Ray Winstone']",200000000,379751655,98.472,7.348,2020s
235,Ice Age: The Meltdown,"['Animation', 'Family', 'Comedy', 'Adventure']","['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Seann William Scott']",80000000,660998756,85.372,6.681,2000s
236,Mission: Impossible - Ghost Protocol,"['Action', 'Thriller', 'Adventure']","['Tom Cruise', 'Paula Patton', 'Simon Pegg', 'Jeremy Renner', 'Michael Nyqvist']",145000000,694713380,53.962,7.053,2010s
237,The Fast and the Furious,"['Action', 'Crime', 'Thriller']","['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']",38000000,207283925,13.01,6.941,2000s
238,Requiem for a Dream,"['Crime', 'Drama']","['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans', 'Christopher McDonald']",4500000,7390108,11.713,8.033,2000s
239,Frozen II,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","['Idina Menzel', 'Kristen Bell', 'Josh Gad', 'Jonathan Groff', 'Sterling K. Brown']",150000000,1450026933,118.586,7.28,2010s
240,Indiana Jones and the Last Crusade,"['Adventure', 'Action']","['Harrison Ford', 'Sean Connery', 'Denholm Elliott', 'Alison Doody', 'John Rhys-Davies']",48000000,474171806,41.327,7.8,1980s
241,Into the Wild,"['Adventure', 'Drama']","['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt', 'Jena Malone', 'Brian H. Dierker']",15000000,56255142,48.25,7.814,2000s
242,The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith']",150000000,424988211,42.873,6.704,2000s
243,Toy Story 4,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']","['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key']",175000000,1073394593,81.827,7.532,2010s
244,Trainspotting,"['Drama', 'Crime']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Robert Carlyle', 'Kelly Macdonald']",4000000,16491080,21.232,7.972,1990s
245,The Wolverine,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']","['Hugh Jackman', 'Tao Okamoto', 'Rila Fukushima', 'Hiroyuki Sanada', 'Famke Janssen']",120000000,415440673,13.349,6.392,2010s
246,Dune,"['Science Fiction', 'Adventure']","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Josh Brolin', 'Stellan Skarsgård']",165000000,402027830,116.047,7.803,2020s
247,X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['Famke Janssen', 'Hugh Jackman', 'Anna Paquin', 'Halle Berry', 'Patrick Stewart']",210000000,459359555,1.968,6.404,2000s
248,Venom: Let There Be Carnage,"['Science Fiction', 'Action', 'Adventure']","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris', 'Reid Scott']",110000000,506863592,190.053,6.871,2020s
249,Godzilla vs. Kong,"['Action', 'Fantasy', 'Science Fiction']","['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall', 'Brian Tyree Henry', 'Shun Oguri']",200000000,470116094,222.824,7.688,2020s
250,Fantastic Beasts and Where to Find Them,"['Fantasy', 'Adventure', 'Family']","['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Alison Sudol', 'Colin Farrell']",180000000,809342332,56.699,7.338,2010s
251,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Michael Gambon', 'Tom Felton']",250000000,933959197,209.242,7.698,2000s
252,It,"['Horror', 'Fantasy']","['Jaeden Martell', 'Bill Skarsgård', 'Jeremy Ray Taylor', 'Sophia Lillis', 'Finn Wolfhard']",35000000,701842551,68.484,7.236,2010s
253,Harry Potter and the Deathly Hallows: Part 1,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane']",250000000,954305868,147.169,7.767,2010s
